app\src\scene\EvaluationScene.cpp:235: warning: EvaluationScene::InitializeModels has 77 NLOC, 10 CCN, 801 token, 0 PARAM, 85 length, 0 ND
app\src\scene\EvaluationScene.cpp:649: warning: EvaluationScene::DrawBoneRig has 43 NLOC, 16 CCN, 301 token, 0 PARAM, 49 length, 0 ND
app\src\scene\EvaluationScene.cpp:746: warning: EvaluationScene::DrawBoneDebugOverlay has 65 NLOC, 27 CCN, 512 token, 0 PARAM, 75 length, 0 ND
app\src\scene\EvaluationScene.cpp:822: warning: EvaluationScene::DrawDebugPanel has 74 NLOC, 17 CCN, 632 token, 0 PARAM, 85 length, 0 ND
app\src\scene\ParticleDemoScene.cpp:87: warning: ParticleDemoScene::Update has 44 NLOC, 19 CCN, 248 token, 0 PARAM, 49 length, 0 ND
engine\include\graphics\GpuResourceHelpers.h:7: warning: GpuResourceHelpers::CreateCommittedResourceChecked has 14 NLOC, 6 CCN, 90 token, 7 PARAM, 14 length, 0 ND
engine\src\animation\AnimationSampler.cpp:81: warning: FindKeyRange has 41 NLOC, 18 CCN, 302 token, 2 PARAM, 44 length, 0 ND
engine\src\core\AssetHotReloader.cpp:62: warning: AssetHotReloader::WatchDirectory has 50 NLOC, 16 CCN, 271 token, 3 PARAM, 53 length, 0 ND
engine\src\core\EngineRuntime.cpp:379: warning: EngineRuntime::ResizeIfNeeded has 37 NLOC, 17 CCN, 300 token, 0 PARAM, 39 length, 0 ND
engine\src\core\EngineRuntimeRenderGraph.cpp:470: warning: AddDefaultRenderGraphDependencies has 38 NLOC, 16 CCN, 238 token, 1 PARAM, 40 length, 0 ND
engine\src\core\WinApp.cpp:141: warning: WinApp::Initialize has 83 NLOC, 13 CCN, 657 token, 6 PARAM, 90 length, 0 ND
engine\src\font\FontManager.cpp:405: warning: FontManager::EnsureGlyph has 81 NLOC, 16 CCN, 645 token, 3 PARAM, 90 length, 0 ND
engine\src\font\FontManager.cpp:548: warning: FontManager::LoadFont has 55 NLOC, 17 CCN, 365 token, 1 PARAM, 61 length, 0 ND
engine\src\font\TextRenderer.cpp:35: warning: DecodeUtf8 has 76 NLOC, 17 CCN, 423 token, 1 PARAM, 83 length, 0 ND
engine\src\graphics\DepthPyramid.cpp:195: warning: DepthPyramid::DispatchBuildMip has 38 NLOC, 7 CCN, 329 token, 7 PARAM, 42 length, 0 ND
